0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/fileupload/20230708143138_02853.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/fileupload/20230710072824_70641.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/chevron-down-solid.svg HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/css/donation/donation.css HTTP/1.1" 200 10045
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/fileupload/20230708143337_82342.webp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/fileupload/20230708143439_66500.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/images/fileupload/20230708143607_39003.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:18 +0900] "GET /giboo/resources/js/donation/donation.js HTTP/1.1" 200 7076
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/donation/detail/56?cp=1 HTTP/1.1" 200 16955
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/css/donation/donationDetail.css HTTP/1.1" 200 14001
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/css/slick/slick.css HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/css/slick/slick-theme.css HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/images/fileupload/20230708143138_02853.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/images/comment-regular.svg HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/images/heart-regular.svg HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/images/chevron-right-solid.svg HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/js/slick/slick.js HTTP/1.1" 200 91966
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/js/donation/donationDetail.js HTTP/1.1" 200 7596
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/resources/images/dog_emoji.png HTTP/1.1" 200 28496
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:22 +0900] "GET /giboo/donation/selectReplyList2?donationNo=56 HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:23 +0900] "GET /giboo/resources/images/memberProfile/20230722073911_70799.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:23 +0900] "GET /giboo/resources/images/memberProfile/20230709172553_82127.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:43:23 +0900] "GET /giboo/resources/images/memberProfile/20230706204330_91051.png HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:55:18 +0900] "GET /giboo/cs/faqList HTTP/1.1" 200 23493
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/donation/home HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230710072824_70641.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230708143138_02853.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230708143238_16561.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230708143439_66500.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230708143607_39003.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:55 +0900] "GET /giboo/resources/images/fileupload/20230708143337_82342.webp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:58 +0900] "GET /giboo/donation/deleteFavorite?memberNo=44&donationNo=57&donationTitle=%EC%9E%A5%EB%B2%BD%EC%97%86%EB%8A%94%20%EC%84%B8%EC%83%81%EB%A7%8C%EB%93%A4%EA%B8%B0%20%EB%AA%A8%EA%B8%88 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [13/Aug/2023:22:00:58 +0900] "GET /giboo/donation/addFavorite?memberNo=44&donationNo=57&donationTitle=%EC%9E%A5%EB%B2%BD%EC%97%86%EB%8A%94%20%EC%84%B8%EC%83%81%EB%A7%8C%EB%93%A4%EA%B8%B0%20%EB%AA%A8%EA%B8%88 HTTP/1.1" 200 7
